iter	Passed	Remaining
0	0	97
1	1	88
2	3	104
3	4	104
4	6	116
5	6	108
6	7	106
7	9	107
8	10	107
9	11	107
10	13	105
11	14	104
12	15	100
13	15	98
14	17	96
15	17	93
16	18	91
17	19	90
18	20	89
19	22	88
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	80
26	29	78
27	30	77
28	30	75
29	31	74
30	32	72
31	33	71
32	34	69
33	35	68
34	35	66
35	36	65
36	37	63
37	38	62
38	39	61
39	39	59
40	40	58
41	41	56
42	41	55
43	42	53
44	43	52
45	43	51
46	44	50
47	45	49
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	54	34
61	55	34
62	56	33
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	61	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
